,country,happy_score,cons_co2_capita,epi_score
0,Finland,7.808700085,12.095780845169914,78.9
1,Denmark,7.645599842,9.237128052181099,82.5
2,Switzerland,7.559899807000001,14.347094161138275,81.5
3,Norway,7.487999916000001,9.328934555026104,77.7
4,Netherlands,7.448900223,9.13406292121625,75.3
5,Sweden,7.353499889,7.266433733679291,78.7
6,New Zealand,7.2996001239999995,8.558995182692419,71.3
7,Austria,7.294199944,10.724206061458169,79.6
8,Luxembourg,7.2375001910000005,39.77439868083043,82.3
9,Canada,7.23210001,16.107187433789395,71.0
10,Australia,7.222799778,15.389211174673386,74.9
11,United Kingdom,7.164500237,8.339918248584139,81.3
12,Israel,7.128600121,9.998593065689565,65.8
13,Costa Rica,7.121399879,2.4937716129035317,52.5
14,Ireland,7.093699932000001,8.908224761930555,72.8
15,Germany,7.075799942000001,10.82575727330927,77.2
16,Czech Republic,6.9109001160000005,10.064388396238963,71.0
17,Belgium,6.863500117999999,15.594993779355502,73.3
18,United Arab Emirates,6.790800095,24.821021905698608,55.6
19,Malta,6.772799968999999,11.516781240366884,70.7
20,France,6.663799762999999,7.074835940273642,80.0
21,Mexico,6.465000152999999,4.1485034405432035,52.6
22,Uruguay,6.440100192999999,3.559385332777131,49.1
23,Saudi Arabia,6.406499863,18.72507650292265,44.0
24,Spain,6.4008998870000005,6.480016095149147,74.3
25,Guatemala,6.398900032,1.189580185739535,31.8
26,Italy,6.38740015,7.711002543234582,71.0
27,Singapore,6.377099991000001,20.432109182097086,58.1
28,Brazil,6.375599861,2.468567229887145,51.2
29,Slovenia,6.363399982000001,8.988156818755451,72.0
30,El Salvador,6.34829998,1.4563248701768368,43.1
31,Panama,6.304800033999999,5.3592369143040735,47.3
32,Slovakia,6.280600071,8.910765561824336,68.3
33,Chile,6.228499889,4.8576567782923865,55.3
34,Bahrain,6.227300167,12.672508864289448,51.0
35,Lithuania,6.215499877999999,8.075565465637123,62.9
36,Trinidad and Tobago,6.1918997760000005,26.872852641989354,47.5
37,Poland,6.1862998010000005,8.088282217858549,60.9
38,Colombia,6.163400172999999,2.1620348421042284,52.9
39,Cyprus,6.15899992,6.9707276803881415,64.8
40,Nicaragua,6.13710022,1.0592929020873847,39.2
41,Romania,6.123700142000001,3.8486898348955365,64.7
42,Kuwait,6.102099895,21.210683116999885,53.6
43,Mauritius,6.101299762999999,4.74708508864405,45.1
44,Kazakhstan,6.0578999520000005,13.106065383207525,44.7
45,Estonia,6.0218000410000005,13.844462593040378,65.3
46,Philippines,6.006000042,1.4148413498420311,38.4
47,Hungary,6.000400066,6.810738776424467,63.7
48,Thailand,5.9987998010000005,4.141146185866857,45.4
49,Argentina,5.974699974,4.591170501477394,52.2
50,Honduras,5.953199862999999,1.234963818566985,37.8
51,Latvia,5.9499998089999995,6.6048068218161164,61.6
52,Ecuador,5.925199986,2.788748481445777,51.0
53,Portugal,5.9109001160000005,5.893586309496407,67.0
54,Jamaica,5.889800072000001,2.857464558466851,48.2
55,South Korea,5.872399807000001,13.095402087137616,66.5
56,Japan,5.870800018,10.926132418754673,75.1
57,Peru,5.796800137000001,1.9790829900578464,44.0
58,Bolivia,5.747499942999999,1.8046108437880242,44.3
59,Pakistan,5.69329977,1.0753306385218426,33.1
60,Paraguay,5.6921000479999995,1.5021935904047934,46.4
61,Dominican Republic,5.6891999239999995,2.4399918463091104,46.3
62,Russia,5.546000004,9.432134263509957,50.5
63,Kyrgyzstan,5.541500092000001,2.6408127135817256,39.8
64,Belarus,5.539899826,7.350711466228278,53.0
65,Greece,5.514999866,6.222575382521084,69.1
66,Croatia,5.504700184,5.276427627772686,63.1
67,Mongolia,5.4562001229999995,7.875780038494217,32.2
68,Malaysia,5.384300232,8.055769870461479,47.9
69,Indonesia,5.285600185,2.2709712365543377,37.8
70,Benin,5.21600008,0.731248382830268,30.0
71,Azerbaijan,5.164800167,4.103223038157537,46.5
72,Ghana,5.1479997630000005,0.801508848277468,27.6
73,Nepal,5.137199879,0.554540608418007,32.7
74,Turkey,5.131800175,5.798559097998804,42.6
75,China,5.123899937,6.015765027600409,37.3
76,Bulgaria,5.101500034,5.729960240435508,57.0
77,Morocco,5.094799995,1.8684233540766024,42.3
78,Cameroon,5.084899902,0.5174120716525586,33.6
79,Venezuela,5.053199768,4.770972537109276,50.3
80,Senegal,4.980800152,0.7667505376085041,30.7
81,Guinea,4.949299812,0.2535752254073232,26.4
82,Laos,4.888599873,2.366914487085101,34.8
83,Albania,4.882699966000001,1.9577434727469931,49.0
84,Cambodia,4.8484001160000005,1.0116978954632516,33.6
85,Bangladesh,4.832799911,0.6437325935206204,29.0
86,South Africa,4.814099789,5.97904622291594,43.1
87,Burkina Faso,4.768700123,0.2589858899143693,38.3
88,Nigeria,4.724100113,0.4945434138309768,31.0
89,Armenia,4.676799774,1.8849100227749875,52.3
90,Georgia,4.672599792,2.8306490402426947,41.3
91,Iran,4.672399998,7.557549251062348,48.0
92,Jordan,4.6333999630000005,3.5276896089330227,53.4
93,Mozambique,4.623600006,0.5719110557114859,33.9
94,Kenya,4.583000183,0.5427327799521882,34.7
95,Namibia,4.571100235,3.975081415312181,40.2
96,Ukraine,4.56069994,5.241367729614426,49.5
97,Uganda,4.43200016,0.2022625956278456,35.6
98,Tunisia,4.392199993,2.4904689168172798,46.7
99,Sri Lanka,4.327000141,1.6698139041954263,39.0
100,Togo,4.187200069,0.981910276592062,29.5
101,Ethiopia,4.186200142,0.19829109236447054,34.4
102,Madagascar,4.165599823,0.22204067100316466,26.5
103,Egypt,4.151400089,2.3573212096401432,43.3
104,Zambia,3.759399891,0.5732450291046283,34.7
105,India,3.573299885,1.6879924061864264,27.6
106,Malawi,3.538000107,0.19326791098252885,38.3
107,Botswana,3.4788999560000002,7.803540190619037,40.4
108,Tanzania,3.4762001039999997,0.3749275698631368,31.1
109,Rwanda,3.312299967,0.09115305317477693,33.8
110,Zimbabwe,3.2992000580000003,0.8801558916689827,37.0
